State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual_rainfall,Kharif,Rabi,Zaid,Winter,Summer,Autumn
Tamil Nadu,1901,24.5,39.1,21.7,36.0,74.0,41.8,49.3,67.9,191.1,122.3,212.3,80.4,960.4,472.4,500.3,173.5,144.0,173.5,525.7
Tamil Nadu,1902,67.2,9.8,25.1,21.9,84.7,39.3,55.1,113.8,98.6,282.2,174.9,165.8,1138.4,589.0,725.0,171.0,242.8,171.0,555.7
Tamil Nadu,1903,19.3,7.8,1.7,18.2,128.5,58.5,72.6,115.0,210.4,128.1,200.5,203.2,1163.8,584.6,560.5,206.9,230.28,206.9,539.0
Tamil Nadu,1904,35.2,0.1,0.7,19.5,121.9,34.9,89.0,40.4,85.7,163.2,23.6,49.1,663.3,413.2,271.9,177.0,84.4,177.0,272.5
Tamil Nadu,1905,6.5,7.5,17.2,64.8,83.7,49.8,39.0,101.8,73.5,250.4,123.7,3.2,821.1,514.5,408.5,215.5,17.2,215.5,447.6
Tamil Nadu,1906,52.4,12.9,17.0,8.5,39.6,43.6,76.0,195.2,65.3,162.8,189.1,127.7,990.1,542.9,561.9,108.7,193.0,108.7,417.2
Tamil Nadu,1907,8.4,1.2,25.0,78.9,56.6,46.1,70.4,58.2,117.2,160.4,200.0,63.2,885.6,452.3,458.25,206.6,72.8,206.6,477.6
Tamil Nadu,1908,16.8,36.9,25.0,24.5,70.3,34.2,37.5,48.4,154.2,261.0,36.1,20.1,765.0,535.3,395.9,154.0,73.81,154.0,451.3
Tamil Nadu,1909,116.5,11.2,7.7,68.6,117.4,30.8,36.1,206.6,106.1,158.0,74.7,20.8,954.5,537.6,388.9,224.5,148.5,224.5,338.8
Tamil Nadu,1910,9.2,21.2,2.4,26.8,64.7,51.5,148.1,142.0,52.4,278.0,146.7,0.6,943.6,672.0,458.1,145.4,31.0,145.4,477.1
Tamil Nadu,1911,2.8,1.1,6.0,30.8,72.1,70.7,50.3,28.9,120.5,125.6,176.2,130.1,815.1,396.0,441.75,179.6,134.0,179.6,422.3
Tamil Nadu,1912,5.9,2.8,2.9,18.5,64.2,46.7,34.8,74.2,126.7,244.2,259.3,23.9,904.1,526.6,539.0,132.3,32.594,132.3,630.2
Tamil Nadu,1913,2.9,3.2,6.6,21.0,64.6,29.7,58.7,62.3,124.8,203.4,184.1,117.7,879.0,478.9,517.9,121.9,123.8,121.9,512.3
Tamil Nadu,1914,5.7,1.9,5.6,34.6,57.1,37.9,37.6,98.4,132.2,281.2,129.1,132.0,953.3,587.3,555.5,135.2,139.6,135.2,542.5
Tamil Nadu,1915,35.1,18.1,43.6,37.0,52.4,66.4,117.7,82.9,133.0,99.9,241.0,61.5,988.6,499.9,499.2,199.4,114.7,199.4,473.9
Tamil Nadu,1916,0.1,3.2,3.1,19.2,61.1,34.5,168.6,125.5,94.7,208.6,145.7,33.2,897.5,631.9,393.9,117.9,36.5,117.9,449.0
Tamil Nadu,1917,14.3,39.1,32.3,11.9,77.5,72.4,45.1,155.7,163.5,123.1,167.5,45.9,948.3,559.8,422.2,194.1,99.3,194.1,454.1
Tamil Nadu,1918,80.9,5.4,25.9,9.9,81.8,36.2,40.8,58.6,47.0,81.8,315.1,88.4,871.8,264.4,597.5,153.8,174.7,153.8,443.9
Tamil Nadu,1919,22.9,0.8,16.2,25.0,88.5,49.9,87.8,51.6,162.7,152.4,264.4,106.4,1028.6,504.4,563.1,179.6,130.1,179.6,579.5
Tamil Nadu,1920,135.9,3.1,3.7,67.3,59.6,47.3,37.3,74.8,156.3,159.4,404.9,4.7,1154.3,475.1,711.7,177.9,143.7,177.9,720.6
Tamil Nadu,1921,141.2,0.0,1.7,72.3,39.5,55.7,92.5,129.6,78.3,236.4,76.0,56.1,979.3,592.5,511.4,169.2,197.28,169.2,390.7
Tamil Nadu,1922,41.9,18.1,2.5,34.9,100.1,48.8,45.4,87.1,75.3,262.8,291.8,71.6,1080.3,519.4,688.7,186.3,131.6,186.3,629.9
Tamil Nadu,1923,136.0,2.5,50.1,26.6,30.8,33.7,40.5,39.8,99.8,220.3,44.3,109.7,834.1,434.1,562.9,141.2,248.2,141.2,364.4
Tamil Nadu,1924,29.7,0.7,31.3,30.2,75.4,54.9,113.9,87.1,170.8,107.1,163.5,30.6,895.2,533.8,362.9,191.8,61.0,191.8,441.4
Tamil Nadu,1925,17.6,4.6,57.2,30.1,85.0,50.6,38.7,91.7,77.3,148.9,229.0,182.8,1013.5,407.2,640.1,222.9,205.0,222.9,455.2
Tamil Nadu,1926,88.0,2.2,30.4,41.4,53.7,38.7,73.8,70.5,120.2,151.5,119.2,26.1,815.7,454.7,417.4,164.2,116.31,164.2,390.9
Tamil Nadu,1927,18.0,21.6,17.2,50.7,73.7,83.1,65.9,77.8,131.0,87.2,171.3,32.5,830.0,445.0,347.8,224.7,72.1,224.7,389.5
Tamil Nadu,1928,21.0,54.9,24.0,56.9,51.0,41.1,75.5,95.2,59.7,219.0,173.8,98.8,970.9,490.5,591.5,173.0,174.7,173.0,452.5
Tamil Nadu,1929,20.4,29.2,9.4,107.3,50.7,63.2,48.9,70.7,135.1,161.2,192.0,89.6,977.7,479.1,501.8,230.6,139.2,230.6,488.3
Tamil Nadu,1930,53.6,60.3,21.4,34.4,165.7,68.9,38.9,66.7,94.2,436.1,186.5,48.7,1275.4,704.8,806.5,290.4,162.62,290.4,716.8
Tamil Nadu,1931,22.7,0.0,3.3,55.6,54.2,40.8,77.3,81.7,104.7,120.3,183.4,295.8,1039.8,424.8,625.5,153.9,318.5,153.9,408.4
Tamil Nadu,1932,0.7,31.9,7.3,62.9,109.6,43.0,56.5,163.5,61.6,247.4,246.9,78.5,1109.8,572.0,612.6,222.8,111.1,222.8,555.9
Tamil Nadu,1933,2.7,5.0,41.2,52.5,105.3,36.9,60.7,169.9,104.5,201.8,124.5,105.9,1010.9,573.8,481.07,235.9,113.61,235.9,430.8
Tamil Nadu,1934,99.8,0.1,11.6,34.6,49.6,73.5,57.5,56.4,38.1,303.4,99.2,15.9,839.7,528.9,530.0,169.3,115.81,169.3,440.7
Tamil Nadu,1935,37.5,2.5,9.3,63.9,23.7,60.0,38.6,153.4,78.6,192.4,147.6,86.3,893.8,523.0,475.6,156.9,126.3,156.9,418.6
Tamil Nadu,1936,1.9,51.1,55.3,35.7,74.4,56.3,85.5,59.4,122.0,103.7,234.5,64.7,944.5,426.9,511.2,221.7,117.7,221.7,460.2
Tamil Nadu,1937,10.7,16.7,26.7,96.1,59.9,42.3,51.1,118.1,105.7,189.8,280.1,22.8,1020.0,507.0,546.8,225.0,50.2,225.0,575.6
Tamil Nadu,1938,1.2,52.1,34.8,44.5,54.3,53.0,101.4,146.3,116.8,87.5,39.3,51.8,783.0,505.0,266.7,186.6,105.1,186.6,243.6
Tamil Nadu,1939,31.1,5.0,26.0,132.1,60.0,60.4,35.1,91.3,96.2,243.8,266.2,8.6,1055.8,526.8,580.7,278.5,44.7,278.5,606.2
Tamil Nadu,1940,0.9,0.7,12.6,82.8,131.5,85.2,59.0,69.4,121.2,152.0,367.8,95.4,1178.5,486.8,629.41,312.1,97.0,312.1,641.0
Tamil Nadu,1941,31.7,4.4,1.4,58.6,70.9,47.1,69.6,84.7,166.4,148.1,216.4,107.5,1006.8,515.9,509.5,178.0,143.6,178.0,530.9
Tamil Nadu,1942,0.5,0.6,6.0,78.6,61.3,53.1,54.9,110.1,120.8,146.5,68.0,146.9,847.3,485.4,368.5,199.0,148.0,199.0,335.3
Tamil Nadu,1943,112.0,18.5,10.8,72.1,204.4,43.2,75.3,78.8,101.1,310.6,117.4,43.2,1187.4,609.0,612.5,330.5,173.7,330.5,529.1
Tamil Nadu,1944,18.4,34.6,83.5,32.7,46.1,81.8,73.8,104.7,143.5,188.8,288.8,130.9,1227.6,592.6,745.0,244.1,183.9,244.1,621.1
Tamil Nadu,1945,4.6,5.5,5.0,74.7,38.2,22.0,75.1,110.1,58.6,168.4,206.8,15.0,784.0,434.2,405.3,139.9,25.1,139.9,433.8
Tamil Nadu,1946,19.8,1.0,46.4,45.7,76.4,56.8,59.3,87.7,140.8,175.5,311.2,273.5,1294.1,520.1,827.41,225.3,294.3,225.3,627.5
Tamil Nadu,1947,59.5,14.8,54.4,92.8,40.9,54.1,125.5,113.4,127.6,205.9,30.5,20.0,939.4,626.5,385.07,242.2,94.3,242.2,364.0
Tamil Nadu,1948,51.7,9.9,10.6,35.3,72.5,67.5,79.8,102.3,68.8,145.4,226.2,36.6,906.6,463.8,480.4,185.9,98.2,185.9,440.4
Tamil Nadu,1949,8.6,3.0,0.6,62.3,98.2,75.6,113.6,148.2,82.3,159.4,86.4,2.3,840.5,579.1,260.3,236.7,13.899,236.7,328.1
Tamil Nadu,1950,2.4,68.0,16.8,11.8,54.5,31.2,56.1,125.3,85.5,160.6,100.7,34.6,747.5,458.7,383.07,114.3,105.0,114.3,346.8
Tamil Nadu,1951,11.7,0.8,26.7,115.2,83.0,30.8,83.6,94.7,113.4,98.3,187.2,9.6,855.0,420.8,334.3,255.7,22.1,255.7,398.9
Tamil Nadu,1952,13.7,47.7,8.9,29.5,58.7,32.9,74.3,73.7,38.2,123.8,47.2,167.6,716.2,342.9,408.93,130.0,229.0,130.0,209.2
Tamil Nadu,1953,13.0,15.8,4.8,97.8,45.8,67.6,111.7,86.2,131.1,278.2,97.1,18.9,968.0,674.8,427.8,216.0,47.7,216.0,506.4
Tamil Nadu,1954,77.5,2.7,58.2,54.2,77.9,35.5,118.5,147.2,34.0,271.0,32.6,107.0,1016.3,606.2,549.0,225.8,187.2,225.8,337.6
Tamil Nadu,1955,35.7,1.3,10.3,85.3,149.4,47.8,73.4,88.1,128.2,165.2,130.6,145.3,1060.6,502.7,488.43,292.8,182.3,292.8,424.0
Tamil Nadu,1956,22.9,0.5,1.0,34.3,35.1,98.0,46.0,99.2,126.4,255.8,225.5,45.1,989.8,625.4,550.8,168.4,68.5,168.4,607.7
Tamil Nadu,1957,1.2,10.3,15.1,14.8,81.1,65.4,64.0,60.8,73.5,203.3,200.4,77.1,867.0,467.0,507.43,176.4,88.6,176.4,477.2
Tamil Nadu,1958,12.1,6.0,27.2,49.4,114.7,33.0,47.3,147.7,80.0,155.2,154.4,25.5,852.5,463.2,380.43,224.3,43.6,224.3,389.6
Tamil Nadu,1959,3.7,34.8,0.1,51.4,68.2,83.5,60.6,62.1,99.1,187.0,190.4,53.4,894.3,492.3,469.43,203.2,91.9,203.2,476.5
Tamil Nadu,1960,5.5,9.9,21.0,60.0,60.9,35.9,146.8,55.6,108.4,134.5,354.1,21.2,1013.8,481.2,546.2,177.8,36.6,177.8,597.0
Tamil Nadu,1961,76.0,12.7,2.2,23.9,71.9,73.8,99.4,110.4,122.2,154.7,107.5,56.1,910.8,560.5,409.25,171.8,144.8,171.8,384.4
Tamil Nadu,1962,10.0,23.6,13.6,48.4,114.1,44.0,56.7,130.5,114.8,275.7,63.1,47.1,941.6,621.7,433.07,220.1,80.7,220.1,453.6
Tamil Nadu,1963,76.2,4.8,39.1,56.5,45.1,49.9,93.1,88.7,115.0,173.4,195.0,135.9,1072.7,520.1,624.4,190.6,216.9,190.6,483.4
Tamil Nadu,1964,1.6,1.2,15.5,11.4,56.8,31.3,174.7,100.8,92.3,187.7,166.4,70.9,910.6,586.8,443.3,115.0,73.7,115.0,446.4
Tamil Nadu,1965,1.8,7.2,10.1,63.8,40.9,33.5,55.4,169.8,92.7,123.9,120.3,202.3,921.7,475.3,465.6,148.3,211.3,148.3,336.9
Tamil Nadu,1966,16.0,1.6,11.9,33.4,51.8,51.6,76.4,143.4,166.1,290.6,224.3,99.8,1166.9,728.1,644.2,148.7,117.4,148.7,681.0
Tamil Nadu,1967,28.9,1.0,40.4,19.3,47.6,69.1,69.4,81.2,76.2,182.3,127.1,156.7,899.2,478.2,536.4,176.4,186.6,176.4,385.6
Tamil Nadu,1968,4.6,5.6,36.5,85.9,46.9,47.9,53.7,65.0,137.7,111.8,121.1,72.7,789.4,416.1,352.3,217.2,82.9,217.2,370.6
Tamil Nadu,1969,1.5,7.2,3.5,32.1,57.0,30.4,60.9,139.7,36.8,275.1,190.5,127.1,961.8,542.9,604.91,123.0,135.78,123.0,502.4
Tamil Nadu,1970,15.9,18.0,9.2,61.8,85.4,51.6,88.9,98.5,102.4,195.1,199.9,15.3,942.0,536.5,453.43,208.0,49.2,208.0,497.4
Tamil Nadu,1971,19.3,11.1,37.8,40.6,75.7,46.9,87.2,127.8,109.0,221.3,71.3,199.6,1047.6,592.2,560.4,201.0,230.0,201.0,401.6
Tamil Nadu,1972,4.0,1.2,1.0,14.0,151.1,55.1,49.2,42.7,175.3,273.1,126.0,200.6,1093.3,595.4,605.91,221.2,205.78,221.2,574.4
Tamil Nadu,1973,0.3,0.2,5.3,20.7,57.0,63.5,92.3,87.6,130.4,195.2,79.1,127.1,858.7,569.0,407.2,146.5,127.6,146.5,404.7
Tamil Nadu,1974,0.6,8.9,6.7,30.4,59.5,40.6,79.8,63.5,178.0,114.8,47.8,22.2,652.8,476.7,201.0,137.2,31.7,137.2,340.6
Tamil Nadu,1975,6.0,4.3,34.8,20.8,80.8,46.8,129.1,121.3,147.8,165.3,130.3,36.4,923.7,610.3,377.1,183.2,46.7,183.2,443.4
Tamil Nadu,1976,1.2,0.2,8.4,50.1,33.8,48.6,64.0,129.9,83.7,137.6,244.9,56.6,859.0,463.8,448.93,140.9,58.0,140.9,466.2
Tamil Nadu,1977,1.4,24.8,10.4,45.5,104.1,50.6,55.4,128.3,118.6,347.5,346.8,12.6,1246.0,700.4,743.5,210.6,38.8,210.6,812.9
Tamil Nadu,1978,1.4,11.2,10.9,35.9,55.2,29.4,78.2,55.4,137.2,151.4,234.6,198.1,998.9,451.6,607.6,131.4,210.7,131.4,523.2
Tamil Nadu,1979,0.7,43.5,12.5,15.3,35.1,60.2,75.2,80.2,183.1,132.6,416.7,48.2,1103.3,531.3,654.2,123.1,92.4,123.1,732.4
Tamil Nadu,1980,0.1,0.0,15.4,45.9,69.2,37.7,64.9,64.2,76.3,122.3,166.2,47.0,709.2,365.4,351.0,168.2,47.1,168.2,364.8
Tamil Nadu,1981,8.9,1.3,21.7,23.7,87.2,57.0,117.0,91.8,200.5,258.0,106.4,72.5,1046.0,724.3,468.75,189.6,82.7,189.6,564.9
Tamil Nadu,1982,0.2,0.1,8.6,25.2,58.8,49.8,52.5,44.5,93.4,114.0,200.8,30.9,678.8,354.2,354.57,142.4,31.2,142.4,408.2
Tamil Nadu,1983,0.2,0.2,1.9,5.5,86.9,72.9,77.9,132.0,154.6,138.7,94.5,242.6,1007.9,576.1,478.1,167.2,243.0,167.2,387.8
Tamil Nadu,1984,34.5,131.3,101.7,45.4,21.6,43.6,149.5,38.0,151.3,134.8,113.5,58.5,1023.7,517.2,574.3,212.3,224.3,212.3,399.6
Tamil Nadu,1985,89.7,5.2,11.9,43.9,33.4,108.8,81.2,129.7,161.6,107.3,233.3,57.4,1063.4,588.6,504.8,198.0,152.3,198.0,502.2
Tamil Nadu,1986,65.5,39.0,16.1,20.9,62.7,63.4,66.9,115.2,142.3,170.5,133.4,57.1,953.0,558.3,481.6,163.1,161.6,163.1,446.2
Tamil Nadu,1987,8.0,1.2,28.7,20.0,50.5,70.5,26.1,82.8,127.0,236.7,136.9,175.0,963.4,543.1,586.5,169.7,184.2,169.7,500.6
Tamil Nadu,1988,0.2,3.8,27.4,94.6,59.1,41.1,102.6,149.8,136.1,71.8,117.6,33.1,837.2,501.4,253.9,222.2,37.1,222.2,325.5
Tamil Nadu,1989,2.7,0.0,27.9,40.8,53.6,57.4,154.9,39.7,137.3,148.6,154.0,39.8,856.7,537.9,373.0,179.7,42.5,179.7,439.9
Tamil Nadu,1990,84.8,10.2,36.2,24.3,94.9,28.9,40.0,80.1,119.6,194.1,144.0,46.1,903.2,462.7,515.4,184.3,141.1,184.3,457.7
Tamil Nadu,1991,24.2,4.6,9.7,37.4,29.5,128.1,54.7,71.7,114.0,225.1,234.4,21.4,954.8,593.6,519.4,204.7,50.2,204.7,573.5
Tamil Nadu,1992,3.1,0.2,0.0,22.5,58.3,66.4,77.9,59.9,157.3,123.9,297.2,52.1,918.8,485.4,476.5,147.2,55.4,147.2,578.4
Tamil Nadu,1993,0.1,7.0,9.9,11.2,46.6,68.2,60.3,88.8,96.7,214.5,315.9,163.1,1082.3,528.5,710.5,135.9,170.2,135.9,627.1
Tamil Nadu,1994,7.0,27.6,5.5,48.3,66.6,38.6,75.3,66.1,84.2,230.6,229.1,27.0,905.9,494.8,526.8,159.0,61.6,159.0,543.9
Tamil Nadu,1995,23.8,3.3,16.7,39.5,139.0,64.6,86.7,121.1,94.0,143.1,107.9,3.7,843.4,509.5,298.5,259.8,30.8,259.8,345.0
Tamil Nadu,1996,7.6,3.6,5.0,91.5,34.0,125.3,55.4,112.4,141.2,149.7,106.0,237.6,1069.3,584.0,509.5,255.8,248.78,255.8,396.9
Tamil Nadu,1997,7.7,0.2,2.3,42.0,49.2,50.4,63.5,56.4,116.0,169.5,258.1,135.2,950.5,455.8,573.0,143.9,143.1,143.9,543.6
Tamil Nadu,1998,6.9,5.7,4.1,23.6,55.8,43.0,101.9,152.9,121.8,124.7,242.0,197.4,1079.8,544.3,580.81,126.5,210.0,126.5,488.5
Tamil Nadu,1999,8.3,24.1,3.9,56.9,74.5,46.4,55.3,74.8,73.1,268.9,182.8,53.6,922.6,518.5,541.6,181.7,86.0,181.7,524.8
Tamil Nadu,2000,30.3,74.5,9.4,41.6,54.7,52.2,45.8,136.1,169.8,120.3,148.6,88.9,972.2,524.2,472.0,157.9,193.7,157.9,438.7
Tamil Nadu,2001,21.8,10.9,13.0,93.8,45.0,39.9,37.2,18.7,53.8,69.5,52.3,27.6,483.5,219.1,195.12,191.7,60.304,191.7,175.6
Tamil Nadu,2002,2.9,22.1,3.9,9.2,32.6,23.7,11.8,26.5,32.2,93.7,47.2,12.2,318.0,187.9,182.0,69.4,37.2,69.4,173.1
Tamil Nadu,2003,0.3,4.1,18.0,17.1,19.8,22.5,38.7,49.3,26.1,86.0,59.5,7.1,348.5,222.6,175.0,77.4,11.5,77.4,171.6
Tamil Nadu,2004,2.8,0.7,3.0,16.2,101.1,21.2,98.6,85.1,208.3,271.1,204.5,25.0,1037.6,684.3,507.1,141.5,28.5,141.5,683.9
Tamil Nadu,2005,4.1,11.1,24.4,128.0,80.6,35.7,87.9,93.3,117.9,280.5,353.4,148.5,1365.4,615.3,822.0,268.7,163.7,268.7,751.8
Tamil Nadu,2006,15.3,0.2,52.4,32.6,65.2,57.2,33.6,73.4,116.3,240.4,215.1,26.1,927.8,520.9,549.5,207.4,41.6,207.4,571.8
Tamil Nadu,2007,7.2,7.5,1.8,58.0,44.9,73.1,101.0,136.5,89.1,248.9,79.2,219.9,1067.1,648.6,564.5,177.8,234.6,177.8,417.2
Tamil Nadu,2008,11.7,29.1,164.7,31.5,53.7,51.1,73.1,126.5,70.7,242.7,298.5,50.1,1203.4,564.1,796.8,301.0,90.9,301.0,611.9
Tamil Nadu,2009,7.9,0.0,41.0,41.4,74.8,27.0,42.1,96.9,114.4,62.1,314.7,106.2,928.5,342.5,531.9,184.2,114.11,184.2,491.2
Tamil Nadu,2010,11.8,0.2,1.9,22.9,91.9,70.0,81.4,102.9,111.1,148.1,328.6,124.5,1095.3,513.5,615.1,186.7,136.5,186.7,587.8
Tamil Nadu,2011,4.3,11.2,8.0,91.5,33.4,56.0,45.5,128.9,76.0,200.4,230.5,41.0,926.7,506.8,495.4,188.9,56.5,188.9,506.9
Tamil Nadu,2012,3.0,0.1,2.5,35.5,41.9,30.1,46.5,98.0,84.9,235.2,44.5,14.0,636.2,494.7,299.3,110.0,17.1,110.0,364.6
Tamil Nadu,2013,3.9,30.9,30.0,20.3,42.0,54.6,42.7,110.7,113.5,127.9,112.3,53.2,742.0,449.4,358.2,146.9,88.0,146.9,353.7
Tamil Nadu,2014,7.4,6.1,8.1,8.3,139.1,47.8,50.6,117.7,98.9,252.2,110.8,66.0,913.0,567.2,450.6,203.3,79.5,203.3,461.9
Tamil Nadu,2015,8.3,2.3,21.7,108.8,112.4,62.4,43.5,81.6,98.4,132.6,379.8,152.8,1204.6,418.5,697.5,305.3,163.4,305.3,610.8
Tamil Nadu,2016,8.9,0.0,39.0,43.4,72.8,67.2,34.6,73.4,110.3,235.4,109.7,111.5,906.2,520.9,504.5,222.4,120.4,222.4,455.4
Tamil Nadu,2017,6.2,7.5,1.9,68.0,47.9,79.1,96.0,134.5,89.1,238.9,82.2,219.9,1071.2,637.6,556.6,196.9,233.6,196.9,410.2
Tamil Nadu,2018,63.72,14.94,91.61,218.23,50.01,39.4,98.09,98.43,124.93,192.8,39.58,39.0,1070.74,553.65,441.65,399.25,117.66,399.25,357.31
Tamil Nadu,2019,52.12,71.95,46.53,39.19,55.55,69.46,168.5,129.74,52.62,163.81,38.14,35.23,922.84,584.13,407.78,210.73,159.28,210.73,254.57
Tamil Nadu,2020,111.64,34.16,62.0,77.61,88.06,130.01,32.26,173.97,58.18,128.66,110.48,62.71,1069.74,523.08,509.653,357.68,208.512,357.68,297.32
Tamil Nadu,2021,40.31,40.86,152.54,85.07,93.34,144.98,34.44,25.63,32.76,62.15,130.21,154.22,996.51,299.96,580.29,475.93,235.39,475.93,225.12
Tamil Nadu,2022,104.24,191.85,147.27,172.9,124.23,192.35,34.95,44.59,23.15,42.09,55.01,32.39,1165.02,337.13,572.85,636.75,328.46,636.75,120.25
Tamil Nadu,2023,124.08,53.53,86.98,95.79,28.13,14.77,180.68,25.74,38.74,130.61,123.02,34.68,936.75,390.54,552.9,225.67,212.292,225.67,292.37
Tamil Nadu,2024,140.66,47.69,45.11,144.08,35.76,31.15,171.43,55.75,120.84,88.68,46.7,66.78,994.63,467.85,435.62,256.1,255.13,256.1,256.22
Tamil Nadu,2025,117.78,23.25,18.96,29.89,72.96,50.72,168.5,33.92,152.62,163.81,142.14,36.23,1010.78,569.57,502.17,172.53,177.26,172.53,458.57
